,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
0,Hyundai Venue ,PLATINUM,Chennai,1019699,16112,Petrol,2nd,2019,Hyundai
1,Honda Jazz ,PLATINUM,Pune,713499,30988,Petrol,2nd,2017,Honda
2,Hyundai i20 ,PLATINUM,Pune,391099,69163,Diesel,2nd,2013,Hyundai
3,Maruti Suzuki Swift,PLATINUM,Pune,474299,42859,Petrol,2nd,2015,Maruti
4,Toyota Corolla Altis,PLATINUM,Pune,1252999,34919,Petrol,1st,2017,Toyota
5,Hyundai Elite i20,PLATINUM,Pune,730899,13687,Petrol,1st,2017,Hyundai
6,Maruti Suzuki Alto,PLATINUM,Pune,343099,29848,Petrol,2nd,2018,Maruti
7,Honda Jazz ,PLATINUM,Pune,707599,21426,Petrol,2nd,2018,Honda
8,Maruti Suzuki Baleno,PLATINUM,Pune,688899,68177,Diesel,2nd,2016,Maruti
9,Jeep Compass ,PLATINUM,Pune,1421599,70650,Diesel,1st,2017,Jeep
10,Maruti Suzuki Alto,PLATINUM,Pune,399999,25730,Petrol,2nd,2017,Maruti
11,Kia Seltos ,PLATINUM,Pune,1473299,47096,Petrol,2nd,2019,Kia
12,Hyundai Creta 1.6,GOLD,Chennai,600000,58460,Diesel,1st,2019,Hyundai
13,Kia Seltos ,GOLD,Chennai,800000,48000,Petrol,1st,2020,Kia
14,Ford Ecosport ,PLATINUM,Pune,807499,23698,Petrol,1st,2017,Ford
15,Hyundai Grand i10,PLATINUM,Pune,522999,37860,Petrol,2nd,2016,Hyundai
16,Maruti Suzuki Swift,PLATINUM,Pune,474299,91830,Petrol,2nd,2015,Maruti
17,Hyundai Elite i20,PLATINUM,Pune,740899,31172,Petrol,2nd,2019,Hyundai
18,Toyota Yaris ,PLATINUM,Pune,1141999,3243,Petrol,2nd,2021,Toyota
19,Tata Nexon ,PLATINUM,Pune,971299,9616,Petrol,2nd,2020,Tata
20,Maruti Suzuki Baleno,PLATINUM,Pune,640999,30249,Petrol,2nd,2017,Maruti
21,Maruti Suzuki Baleno,PLATINUM,Pune,676199,60875,Petrol,2nd,2019,Maruti
22,Maruti Suzuki Swift,PLATINUM,Chennai,562399,25740,Petrol,2nd,2017,Maruti
23,Ford Ecosport 1.0,PLATINUM,Pune,580899,38587,Petrol,2nd,2014,Ford
24,Renault Triber ,PLATINUM,Pune,770999,3108,Petrol,2nd,2021,Renault
25,Honda Amaze ,PLATINUM,Pune,531399,35353,Petrol,2nd,2016,Honda
26,Hyundai EON Magna,PLATINUM,Pune,367299,34748,Petrol,2nd,2017,Hyundai
27,Maruti Suzuki Alto,PLATINUM,Pune,412199,2359,Petrol,2nd,2020,Maruti
28,Hyundai Creta S,PLATINUM,Pune,1460099,17814,Diesel,2nd,2020,Hyundai
29,Maruti Suzuki Baleno,PLATINUM,Pune,618699,68934,Petrol,2nd,2018,Maruti
30,Hyundai i20 Asta,GOLD,Bangalore,485000,72600,Petrol,2nd,2014,Hyundai
31,Nissan Micra XV,GOLD,Chennai,245000,80000,Diesel,1st,2012,Nissan
32,MG Motors Hector,GOLD,Chennai,1200000,36000,Diesel,1st,2020,MG
33,Maruti Suzuki Wagon,PLATINUM,Pune,490199,15840,Petrol,2nd,2017,Maruti
34,Maruti Suzuki Baleno,PLATINUM,Pune,618699,68934,Petrol,2nd,2018,Maruti
35,Maruti Suzuki Vitara,PLATINUM,Pune,920999,32482,Diesel,2nd,2017,Maruti
36,Honda City ,PLATINUM,Pune,554399,113779,Diesel,2nd,2014,Honda
37,Maruti Suzuki Wagon,PLATINUM,Pune,408999,26150,Petrol,2nd,2017,Maruti
38,Mahindra XUV 500,PLATINUM,Pune,1248299,34555,Diesel,2nd,2018,Mahindra
39,Maruti Suzuki Baleno,PLATINUM,Pune,636099,30880,Petrol,1st,2018,Maruti
40,Hyundai i20 Asta,PLATINUM,Pune,452699,70423,Petrol,1st,2013,Hyundai
41,Hyundai Elite i20,PLATINUM,Pune,704399,30232,Diesel,2nd,2018,Hyundai
42,Volkswagen Polo ,PLATINUM,Pune,553599,50077,Petrol,2nd,2016,Volkswagen
43,Ford Ecosport ,PLATINUM,Pune,999599,18482,Diesel,2nd,2018,Ford
44,Maruti Suzuki Baleno,PLATINUM,Pune,684699,10246,Petrol,2nd,2018,Maruti
45,Maruti Suzuki Baleno,PLATINUM,Pune,620399,25021,Petrol,2nd,2016,Maruti
46,Hyundai Elite i20,PLATINUM,Pune,549899,70646,Petrol,2nd,2014,Hyundai
47,Maruti Suzuki Vitara,PLATINUM,Pune,812899,45490,Diesel,2nd,2018,Maruti
48,Ford Ecosport ,PLATINUM,Chennai,656699,53306,Diesel,2nd,2016,Ford
49,Hyundai Creta 1.6,GOLD,Chennai,725000,58460,Diesel,1st,2019,Hyundai
50,Hyundai Venue ,GOLD,Chennai,600000,29000,Diesel,1st,2019,Hyundai
51,Hyundai Creta 1.6,PLATINUM,Pune,818599,69215,Petrol,1st,2017,Hyundai
52,Hyundai Verna 1.6,PLATINUM,Pune,862399,33340,Petrol,1st,2018,Hyundai
53,Renault Triber ,PLATINUM,Pune,673599,9783,Petrol,2nd,2019,Renault
54,Hyundai Santro Sportz,PLATINUM,Pune,528899,15110,Petrol,2nd,2018,Hyundai
55,Maruti Suzuki S,PLATINUM,Pune,527999,3399,Petrol,2nd,2021,Maruti
56,Mahindra XUV 500,PLATINUM,Pune,791699,89310,Diesel,1st,2013,Mahindra
57,Maruti Suzuki Wagon,PLATINUM,Chennai,392999,53148,Petrol,1st,2015,Maruti
58,Honda City VX,PLATINUM,Pune,690199,42020,Petrol,1st,2015,Honda
59,Maruti Suzuki Swift,PLATINUM,Pune,474699,74594,Diesel,2nd,2013,Maruti
60,MG Motors Hector,PLATINUM,Pune,2019899,6110,Petrol,2nd,2021,MG
61,Hyundai Grand i10,PLATINUM,Pune,562299,24346,Petrol,2nd,2017,Hyundai
62,Jeep Compass ,PLATINUM,Pune,1400999,65668,Diesel,1st,2017,Jeep
63,Renault Kwid ,PLATINUM,Pune,447599,48644,Petrol,2nd,2018,Renault
64,Toyota Innova Crysta,PLATINUM,Pune,1814599,36877,Diesel,2nd,2018,Toyota
65,Tata Nexon ,PLATINUM,Pune,920399,79673,Diesel,2nd,2018,Tata
66,Maruti Suzuki Swift,PLATINUM,Pune,447599,54352,Petrol,2nd,2014,Maruti
67,Mahindra Xylo ,GOLD,Kozhikode,525000,107000,Diesel,1st,2015,Mahindra
68,Mahindra Xylo ,GOLD,Kozhikode,525000,107000,Diesel,2nd,2015,Mahindra
69,Maruti Suzuki Alto,PLATINUM,Pune,343299,48658,Petrol,2nd,2017,Maruti
70,MG Motors Hector,PLATINUM,Pune,1711499,11998,Petrol,2nd,2020,MG
71,Maruti Suzuki Vitara,PLATINUM,Pune,918799,32513,Diesel,2nd,2018,Maruti
72,Hyundai Grand i10,PLATINUM,Pune,526399,21372,Petrol,2nd,2016,Hyundai
73,Volkswagen Vento ,PLATINUM,Pune,881099,34178,Petrol,1st,2017,Volkswagen
74,Kia Seltos ,PLATINUM,Pune,1764199,20547,Petrol,2nd,2019,Kia
75,Maruti Suzuki Baleno,PLATINUM,Pune,639199,34731,Petrol,2nd,2016,Maruti
76,Hyundai Grand i10,PLATINUM,Pune,522999,30536,Petrol,1st,2016,Hyundai
77,MG Motors Hector,PLATINUM,Bangalore,1917599,10205,Diesel,2nd,2019,MG
78,Maruti Suzuki Wagon,PLATINUM,Pune,466599,25483,Petrol,2nd,2017,Maruti
79,Toyota Corolla Altis,PLATINUM,Pune,1397699,39113,Petrol,2nd,2017,Toyota
80,Maruti Suzuki Ignis,PLATINUM,Pune,504399,43152,Petrol,2nd,2017,Maruti
81,MG Motors Hector,PLATINUM,Pune,1920399,5325,Petrol,2nd,2020,MG
82,Ford Ecosport ,PLATINUM,Pune,917599,44705,Petrol,2nd,2018,Ford
83,Toyota Etios ,PLATINUM,Pune,319099,70022,Petrol,2nd,2011,Toyota
84,Maruti Suzuki Celerio,PLATINUM,Pune,484399,47435,Petrol,2nd,2017,Maruti
85,Honda City 1.5,GOLD,Lucknow,73000,195000,Petrol,2nd,2001,Honda
86,Hyundai Verna 1.6,GOLD,Coimbatore,1550000,13000,Petrol,1st,2022,Hyundai
87,Mahindra e2o T2,GOLD,Bangalore,420000,46000,Electric,1st,2016,Mahindra
88,Toyota Fortuner 4x4,GOLD,Kolkata,1595000,72000,Diesel,1st,2015,Toyota
89,Hyundai Xcent ,PLATINUM,Pune,573499,29026,Petrol,2nd,2016,Hyundai
90,Hyundai Creta 1.6,PLATINUM,Pune,879199,59258,Petrol,2nd,2015,Hyundai
91,Mahindra XUV 500,PLATINUM,Pune,733399,120399,Diesel,1st,2014,Mahindra
92,Maruti Suzuki Vitara,PLATINUM,Pune,967599,28853,Diesel,2nd,2018,Maruti
93,Honda City ,PLATINUM,Pune,1539299,9811,Petrol,2nd,2020,Honda
94,Hyundai i20 Active,PLATINUM,Pune,561499,43538,Petrol,2nd,2015,Hyundai
95,Hyundai Creta ,PLATINUM,Pune,1042699,66400,Petrol,2nd,2017,Hyundai
96,Maruti Suzuki S,PLATINUM,Pune,1032099,59341,Diesel,2nd,2017,Maruti
97,Hyundai Creta ,PLATINUM,Pune,903499,56246,Petrol,2nd,2016,Hyundai
98,Honda Amaze ,PLATINUM,Pune,472499,35944,Petrol,2nd,2014,Honda
99,Honda WR V,PLATINUM,Pune,771299,17699,Petrol,2nd,2018,Honda
100,Maruti Suzuki Wagon,PLATINUM,Pune,447099,41065,Petrol,2nd,2017,Maruti
101,Renault Kwid ,PLATINUM,Pune,504599,2311,Petrol,2nd,2019,Renault
102,Hyundai Grand i10,PLATINUM,Pune,620999,2991,Petrol,2nd,2018,Hyundai
103,Hyundai Grand i10,PLATINUM,Pune,433999,29762,Petrol,2nd,2015,Hyundai
104,Skoda Rapid ,PLATINUM,Pune,627499,91917,Diesel,2nd,2016,Skoda
105,Renault Kwid ,PLATINUM,Pune,504599,2311,Petrol,2nd,2019,Renault
106,Maruti Suzuki Dzire,PLATINUM,Pune,704199,30771,Petrol,2nd,2018,Maruti
107,Hyundai Santro Sportz,PLATINUM,Pune,513099,29488,Petrol,2nd,2018,Hyundai
108,Renault Kwid ,PLATINUM,Pune,469399,36559,Petrol,2nd,2019,Renault
109,Honda WR V,PLATINUM,Pune,844199,38242,Diesel,2nd,2018,Honda
110,Maruti Suzuki Ignis,PLATINUM,Pune,544799,66426,Petrol,1st,2017,Maruti
111,Volkswagen Polo ,PLATINUM,Pune,710899,16950,Petrol,2nd,2018,Volkswagen
112,Maruti Suzuki Baleno,PLATINUM,Pune,580599,18866,Petrol,2nd,2016,Maruti
113,Maruti Suzuki Swift,PLATINUM,Pune,638499,53245,Diesel,1st,2017,Maruti
114,Hyundai Verna ,PLATINUM,Pune,654699,44543,Petrol,1st,2016,Hyundai
115,Maruti Suzuki S,PLATINUM,Pune,894199,50128,Diesel,1st,2018,Maruti
116,Maruti Suzuki S,PLATINUM,Pune,858599,56349,Diesel,2nd,2018,Maruti
117,Maruti Suzuki S,PLATINUM,Pune,992199,69524,Diesel,2nd,2017,Maruti
118,Volkswagen Polo ,PLATINUM,Pune,714999,41218,Petrol,1st,2017,Volkswagen
119,Maruti Suzuki Baleno,PLATINUM,Pune,765599,9085,Petrol,1st,2020,Maruti
120,MG Motors Hector,PLATINUM,Bangalore,1800299,11292,Diesel,2nd,2019,MG
121,Mercedes Benz C,GOLD,Mumbai,1190000,75000,Diesel,2nd,2011,Mercedes
122,Maruti Suzuki Ertiga,GOLD,Delhi,600000,48600,Diesel,1st,2015,Maruti
123,Maruti Suzuki Alto,GOLD,Delhi,336000,3600,Petrol,1st,2019,Maruti
124,Maruti Suzuki Dzire,PLATINUM,Pune,680699,29594,Petrol,2nd,2019,Maruti
125,Honda City VX,PLATINUM,Pune,714899,55953,Petrol,1st,2015,Honda
126,Maruti Suzuki Alto,PLATINUM,Pune,316799,16980,Petrol,1st,2016,Maruti
127,Ford Ecosport ,PLATINUM,Pune,675099,41828,Diesel,2nd,2016,Ford
128,Maruti Suzuki S,PLATINUM,Pune,1057399,64803,Diesel,2nd,2018,Maruti
129,Maruti Suzuki Ertiga,PLATINUM,Pune,938099,44460,Diesel,2nd,2018,Maruti
130,Tata Nexon ,PLATINUM,Pune,1057699,14276,Diesel,2nd,2018,Tata
131,Maruti Suzuki Wagon,PLATINUM,Pune,610099,23425,Petrol,2nd,2019,Maruti
132,Maruti Suzuki Alto,PLATINUM,Pune,452199,23056,Petrol,2nd,2018,Maruti
133,Hyundai Elite i20,PLATINUM,Pune,712699,16102,Petrol,2nd,2019,Hyundai
134,Maruti Suzuki Vitara,PLATINUM,Pune,838699,56615,Diesel,1st,2019,Maruti
135,Mahindra TUV300 ,PLATINUM,Pune,666899,70317,Diesel,1st,2015,Mahindra
136,MG Motors Hector,PLATINUM,Bangalore,1681899,6760,Petrol,2nd,2020,MG
137,MG Motors Hector,PLATINUM,Chennai,1854599,8870,Petrol,2nd,2020,MG
138,Maruti Suzuki Baleno,PLATINUM,Pune,571499,78209,Petrol,1st,2016,Maruti
139,Volkswagen Vento ,PLATINUM,Pune,589199,64292,Petrol,2nd,2015,Volkswagen
140,Toyota Fortuner 3.0,GOLD,Chandigarh,1231000,117000,Diesel,2nd,2012,Toyota
141,Hyundai i20 Magna,GOLD,Bangalore,320000,89450,Diesel,2nd,2011,Hyundai
142,Maruti Suzuki Alto,PLATINUM,Pune,351699,58771,Petrol,2nd,2015,Maruti
143,Maruti Suzuki Alto,PLATINUM,Pune,299199,53266,Petrol,2nd,2016,Maruti
144,Honda Amaze ,PLATINUM,Pune,657199,9200,Petrol,2nd,2019,Honda
145,Ford Ecosport ,PLATINUM,Pune,539299,61721,Petrol,2nd,2014,Ford
146,Hyundai Grand i10,PLATINUM,Pune,608399,18333,Petrol,2nd,2017,Hyundai
147,Ford Ecosport ,PLATINUM,Pune,1042799,51780,Petrol,2nd,2019,Ford
148,Maruti Suzuki Baleno,PLATINUM,Pune,645199,30854,Petrol,2nd,2018,Maruti
149,Ford Ecosport ,PLATINUM,Pune,811899,24680,Petrol,2nd,2017,Ford
150,Volkswagen Vento ,PLATINUM,Pune,557799,85663,Petrol,1st,2015,Volkswagen
151,Mahindra Bolero ,PLATINUM,Pune,873999,20541,Diesel,2nd,2021,Mahindra
152,Hyundai i20 Magna,PLATINUM,Pune,278299,64182,Petrol,1st,2010,Hyundai
153,Maruti Suzuki S,PLATINUM,Pune,986399,58819,Diesel,2nd,2017,Maruti
154,Maruti Suzuki Wagon,PLATINUM,Pune,610099,32057,Petrol,2nd,2019,Maruti
155,Jeep Compass ,PLATINUM,Pune,1749899,18403,Petrol,2nd,2018,Jeep
156,Maruti Suzuki Alto,PLATINUM,Pune,443899,7877,Petrol,2nd,2018,Maruti
157,Hyundai Verna 1.6,PLATINUM,Pune,936299,15509,Petrol,2nd,2018,Hyundai
158,Maruti Suzuki Baleno,PLATINUM,Pune,580599,48329,Petrol,1st,2016,Maruti
159,Renault Kwid RXT,PLATINUM,Pune,404499,21301,Petrol,2nd,2019,Renault
160,Maruti Suzuki Vitara,PLATINUM,Pune,838699,34566,Diesel,2nd,2019,Maruti
161,Renault Kwid ,PLATINUM,Pune,446499,34297,Petrol,2nd,2018,Renault
162,Tata Hexa ,PLATINUM,Pune,1047499,119571,Diesel,2nd,2017,Tata
163,Maruti Suzuki Alto,PLATINUM,Pune,345599,27957,Petrol,2nd,2018,Maruti
164,Ford Ecosport ,PLATINUM,Pune,784399,27210,Petrol,2nd,2018,Ford
165,Maruti Suzuki Swift,PLATINUM,Pune,489399,21610,Petrol,2nd,2014,Maruti
166,Maruti Suzuki Baleno,PLATINUM,Pune,627499,40902,Petrol,2nd,2017,Maruti
167,Maruti Suzuki Alto,PLATINUM,Pune,288399,11057,Petrol,2nd,2015,Maruti
168,Maruti Suzuki Baleno,PLATINUM,Pune,573999,72505,Petrol,2nd,2016,Maruti
169,Hyundai Creta ,PLATINUM,Pune,1373699,31338,Petrol,1st,2018,Hyundai
170,Maruti Suzuki Alto,PLATINUM,Pune,279799,28674,Petrol,2nd,2016,Maruti
171,Hyundai Elite i20,PLATINUM,Pune,658199,25416,Petrol,1st,2018,Hyundai
172,Hyundai Grand i10,PLATINUM,Pune,465499,14765,Petrol,2nd,2016,Hyundai
173,Toyota Etios ,PLATINUM,Pune,563999,60380,Diesel,1st,2015,Toyota
174,Maruti Suzuki Baleno,PLATINUM,Pune,718699,19775,Petrol,2nd,2018,Maruti
175,Tata Tiago ,PLATINUM,Pune,543399,28495,Petrol,1st,2018,Tata
176,Hyundai Creta ,PLATINUM,Pune,1780399,28344,Diesel,2nd,2020,Hyundai
177,Toyota Glanza ,PLATINUM,Pune,757999,10801,Petrol,2nd,2020,Toyota
178,Tata Nexon ,PLATINUM,Pune,1013999,4365,Petrol,1st,2019,Tata
179,Maruti Suzuki Celerio,PLATINUM,Pune,439999,53266,Diesel,2nd,2016,Maruti
180,Maruti Suzuki S,PLATINUM,Pune,839199,50866,Diesel,2nd,2018,Maruti
181,Maruti Suzuki Alto,PLATINUM,Pune,421799,24230,Petrol,2nd,2019,Maruti
182,Maruti Suzuki Baleno,PLATINUM,Pune,580599,64275,Petrol,2nd,2016,Maruti
183,Hyundai Venue ,PLATINUM,Pune,986799,8924,Petrol,2nd,2019,Hyundai
184,MG Motors Hector,PLATINUM,Pune,2057399,12208,Petrol,2nd,2021,MG
185,Honda City V,PLATINUM,Pune,1082299,26956,Petrol,2nd,2018,Honda
186,Hyundai Grand i10,PLATINUM,Pune,576999,12223,Petrol,2nd,2017,Hyundai
187,Hyundai Grand i10,PLATINUM,Pune,533199,23960,Petrol,2nd,2016,Hyundai
188,Maruti Suzuki Wagon,PLATINUM,Pune,473299,33687,Petrol,2nd,2015,Maruti
189,MG Motors Hector,PLATINUM,Pune,1838399,24887,Petrol,2nd,2020,MG
190,Toyota Innova 2.5,GOLD,Mumbai,800000,74000,Diesel,2nd,2013,Toyota
191,BMW 3 Series,GOLD,Mumbai,1890000,61000,Diesel,2nd,2015,BMW
192,Jaguar XF 2.2,GOLD,Mumbai,2150000,20000,Diesel,2nd,2014,Jaguar
193,Hyundai Verna Fluidic,GOLD,Mumbai,699000,26000,Petrol,1st,2015,Hyundai
194,Hyundai Grand i10,PLATINUM,Pune,451799,71423,Petrol,2nd,2015,Hyundai
195,Hyundai Grand i10,PLATINUM,Pune,446999,34095,Petrol,1st,2015,Hyundai
196,Maruti Suzuki Wagon,PLATINUM,Pune,470799,32658,Petrol,2nd,2016,Maruti
197,Maruti Suzuki Ignis,PLATINUM,Pune,511799,33166,Petrol,2nd,2017,Maruti
198,Maruti Suzuki Wagon,PLATINUM,Chennai,399899,31284,Petrol,2nd,2014,Maruti
199,Maruti Suzuki Wagon,PLATINUM,Pune,375999,66090,Petrol,2nd,2015,Maruti
200,Ford Ecosport ,PLATINUM,Pune,664799,51295,Petrol,2nd,2016,Ford
201,Maruti Suzuki Baleno,PLATINUM,Pune,617799,48693,Petrol,2nd,2016,Maruti
202,Maruti Suzuki Ciaz,PLATINUM,Pune,749299,36626,Diesel,2nd,2017,Maruti
203,Renault Duster ,PLATINUM,Pune,795799,55752,Diesel,2nd,2016,Renault
204,Tata Tigor ,PLATINUM,Pune,543499,49341,Diesel,2nd,2017,Tata
205,Maruti Suzuki Alto,PLATINUM,Chennai,317199,60251,Petrol,2nd,2015,Maruti
206,Maruti Suzuki Alto,PLATINUM,Pune,373699,22269,Petrol,2nd,2015,Maruti
207,Volkswagen Ameo ,PLATINUM,Pune,501799,38999,Petrol,2nd,2016,Volkswagen
208,Maruti Suzuki Vitara,PLATINUM,Pune,838699,29110,Diesel,2nd,2019,Maruti
209,Hyundai Creta ,PLATINUM,Pune,1804399,14506,Petrol,2nd,2020,Hyundai
210,Hyundai Xcent 1.2,GOLD,Chennai,299000,95000,Diesel,2nd,2016,Hyundai
211,Ford Figo 1.5,GOLD,Chennai,176000,88000,Diesel,2nd,2010,Ford
212,Maruti Suzuki Wagon,GOLD,Chennai,325000,60000,Petrol,1st,2014,Maruti
213,Hyundai Creta ,PLATINUM,Pune,1804399,14506,Petrol,2nd,2020,Hyundai
214,Maruti Suzuki S,PLATINUM,Pune,985299,29115,Diesel,2nd,2017,Maruti
215,Maruti Suzuki Baleno,PLATINUM,Pune,642899,34763,Petrol,2nd,2017,Maruti
216,Maruti Suzuki Ciaz,PLATINUM,Chennai,740000,12500,Diesel,2nd,2015,Maruti
217,Renault Kwid CLIMBER,PLATINUM,Bangalore,463099,44696,Petrol,1st,2017,Renault
218,Maruti Suzuki Alto,PLATINUM,Pune,350599,33004,Petrol,2nd,2018,Maruti
219,Hyundai Verna Fluidic,PLATINUM,Chennai,636299,46034,Petrol,1st,2016,Hyundai
220,Hyundai Grand i10,PLATINUM,Chennai,698199,60307,Petrol,1st,2020,Hyundai
221,Hyundai Grand i10,PLATINUM,Chennai,764199,8825,Petrol,1st,2021,Hyundai
222,Maruti Suzuki Celerio,PLATINUM,Chennai,524799,5743,Petrol,1st,2019,Maruti
223,Ford EcoSport Ambiente,GOLD,Chennai,420000,87000,Diesel,1st,2013,Ford
224,Maruti Suzuki Celerio,PLATINUM,Chennai,524799,5743,Petrol,1st,2019,Maruti
225,Maruti Suzuki Eeco,PLATINUM,Chennai,493899,25735,Petrol,1st,2019,Maruti
226,Hyundai Elite i20,PLATINUM,Chennai,825299,37522,Petrol,2nd,2019,Hyundai
227,Maruti Suzuki Wagon,PLATINUM,Chennai,495499,38955,Petrol,1st,2018,Maruti
228,Hyundai Eon Era,PLATINUM,Chennai,277599,65308,Petrol,1st,2014,Hyundai
229,Maruti Suzuki Wagon,PLATINUM,Chennai,473899,30467,Petrol,1st,2017,Maruti
230,Hyundai Venue S,PLATINUM,Chennai,855299,1954,Petrol,1st,2019,Hyundai
231,Hyundai Santro 1.1,PLATINUM,Chennai,540299,35220,Petrol,1st,2019,Hyundai
232,Hyundai Elite i20,PLATINUM,Chennai,642899,75876,Petrol,1st,2016,Hyundai
233,Maruti Suzuki Alto,PLATINUM,Chennai,442299,27020,Petrol,1st,2021,Maruti
234,Renault Triber 1.0,PLATINUM,Chennai,725399,13739,Petrol,1st,2019,Renault
235,Maruti Suzuki Wagon,PLATINUM,Chennai,558299,21544,Petrol,1st,2019,Maruti
236,Maruti Suzuki Alto,PLATINUM,Chennai,354299,13816,Petrol,1st,2016,Maruti
237,Hyundai Elite i20,PLATINUM,Chennai,673599,23817,Petrol,1st,2016,Hyundai
238,Hyundai Grand i10,PLATINUM,Chennai,525099,60985,Petrol,1st,2017,Hyundai
239,Maruti Suzuki Swift,PLATINUM,Chennai,529699,50141,Petrol,1st,2016,Maruti
240,Fiat Linea Dynamic,PLATINUM,Kolkata,256000,30000,Petrol,1st,2012,Fiat
241,Maruti Suzuki XL6,PLATINUM,Bangalore,1244799,22292,Petrol,2nd,2019,Maruti
242,Honda Amaze ,PLATINUM,Bangalore,474399,44013,Petrol,1st,2014,Honda
243,Maruti Suzuki Wagon,PLATINUM,Bangalore,389399,96250,Petrol,2nd,2016,Maruti
244,Maruti Suzuki Swift,PLATINUM,Chennai,562399,59839,Petrol,2nd,2017,Maruti
245,Hyundai Grand i10,PLATINUM,Chennai,446699,49693,Petrol,2nd,2015,Hyundai
246,Renault Kwid RXT,PLATINUM,Bangalore,439999,22223,Petrol,1st,2017,Renault
247,Honda Amaze ,PLATINUM,Bangalore,918999,8030,Petrol,2nd,2021,Honda
248,Volkswagen Polo ,PLATINUM,Bangalore,815799,38780,Petrol,2nd,2016,Volkswagen
249,Maruti Suzuki Vitara,PLATINUM,Bangalore,896799,31919,Diesel,2nd,2018,Maruti
250,Hyundai i10 Sportz,PLATINUM,Bangalore,411399,47564,Petrol,2nd,2015,Hyundai
251,Hyundai Grand i10,PLATINUM,Bangalore,498999,42836,Petrol,2nd,2013,Hyundai
252,Ford Figo ,PLATINUM,Bangalore,357999,50488,Petrol,2nd,2015,Ford
253,Maruti Suzuki Ignis,PLATINUM,Pune,462599,12916,Petrol,1st,2018,Maruti
254,Hyundai Elite i20,PLATINUM,Bangalore,695199,30731,Petrol,1st,2016,Hyundai
255,Maruti Suzuki Eeco,PLATINUM,Bangalore,490399,8825,Petrol,2nd,2019,Maruti
256,Renault Kwid RxL,PLATINUM,Bangalore,340099,21627,Petrol,3rd,2016,Renault
257,Maruti Suzuki Ertiga,PLATINUM,Bangalore,997899,5580,Petrol,2nd,2020,Maruti
258,Hyundai i10 Sportz,PLATINUM,Bangalore,351599,41371,Petrol,1st,2013,Hyundai
259,Maruti Suzuki Swift,PLATINUM,Bangalore,603799,42313,Petrol,1st,2016,Maruti
260,Hyundai Elite i20,PLATINUM,Bangalore,599799,74913,Petrol,2nd,2016,Hyundai
261,Maruti Suzuki Wagon,PLATINUM,Bangalore,456099,74760,Petrol,2nd,2018,Maruti
262,Ford Ecosport ,PLATINUM,Bangalore,993699,34045,Diesel,2nd,2019,Ford
263,Maruti Suzuki Ritz,PLATINUM,Bangalore,312299,143147,Petrol,2nd,2010,Maruti
264,Hyundai Venue ,PLATINUM,Bangalore,1221799,28149,Petrol,1st,2019,Hyundai
265,Maruti Suzuki Swift,PLATINUM,Bangalore,522999,38049,Petrol,2nd,2015,Maruti
266,Hyundai EON Magna,PLATINUM,Bangalore,323399,78895,Petrol,2nd,2014,Hyundai
267,Hyundai Grand i10,PLATINUM,Bangalore,510799,27027,Petrol,2nd,2015,Hyundai
268,Maruti Suzuki Vitara,PLATINUM,Pune,910799,23940,Petrol,2nd,2020,Maruti
269,Renault Captur ,PLATINUM,Chennai,722899,26678,Petrol,2nd,2018,Renault
270,Honda WR V,PLATINUM,Pune,809499,41342,Diesel,2nd,2018,Honda
271,Maruti Suzuki Alto,PLATINUM,Bangalore,297399,59614,Petrol,1st,2013,Maruti
272,Maruti Suzuki Alto,PLATINUM,Bangalore,411999,39550,Petrol,2nd,2016,Maruti
273,Renault Triber ,PLATINUM,Bangalore,623399,28621,Petrol,1st,2019,Renault
274,Honda Brio ,PLATINUM,Bangalore,372399,60437,Petrol,1st,2013,Honda
275,Maruti Suzuki Wagon,PLATINUM,Chennai,518099,26598,Petrol,2nd,2018,Maruti
276,Honda Amaze ,PLATINUM,Chennai,485599,62723,Petrol,2nd,2015,Honda
277,Maruti Suzuki Baleno,PLATINUM,Chennai,636899,21145,Petrol,2nd,2017,Maruti
278,Hyundai Grand i10,PLATINUM,Pune,396999,48699,Petrol,1st,2013,Hyundai
279,Ford Ecosport ,PLATINUM,Pune,980399,10102,Petrol,2nd,2019,Ford
280,Maruti Suzuki Baleno,PLATINUM,Bangalore,658999,34881,Petrol,1st,2017,Maruti
281,Hyundai EON D,PLATINUM,Bangalore,304099,53997,Petrol,2nd,2015,Hyundai
282,Maruti Suzuki Alto,PLATINUM,Bangalore,362599,49076,Petrol,1st,2015,Maruti
283,Maruti Suzuki Alto,PLATINUM,Bangalore,344199,65951,Petrol,2nd,2014,Maruti
284,Skoda Rapid 1.5,GOLD,Bangalore,550000,136000,Diesel,1st,2015,Skoda
285,Maruti Suzuki Alto,PLATINUM,Bangalore,462399,15032,Petrol,1st,2017,Maruti
286,Maruti Suzuki Alto,PLATINUM,Pune,319999,15575,Petrol,2nd,2017,Maruti
287,Maruti Suzuki Swift,PLATINUM,Pune,275699,147819,Diesel,3rd,2010,Maruti
288,Hyundai Grand i10,PLATINUM,Bangalore,501599,35203,Petrol,2nd,2016,Hyundai
289,Maruti Suzuki Eeco,PLATINUM,Bangalore,506599,7597,Petrol,1st,2020,Maruti
290,Mahindra Scorpio S5,PLATINUM,Bangalore,1198599,34883,Diesel,1st,2018,Mahindra
