,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
505,Mahindra XUV 500,GOLD,Kolkata,778888,46000,Diesel,1st,2015,Mahindra
506,Volvo XC60 D3,GOLD,Mumbai,1750000,86000,Diesel,2nd,2012,Volvo
507,Volkswagen Polo COMFORTLINE,PLATINUM,Bangalore,582899,15227,Petrol,1st,2017,Volkswagen
508,Volkswagen Polo ,PLATINUM,Chennai,414099,87375,Diesel,1st,2014,Volkswagen
509,Maruti Suzuki Eeco,PLATINUM,Chennai,516599,7679,Petrol,2nd,2020,Maruti
510,Maruti Suzuki Alto,PLATINUM,Bangalore,366299,48378,Petrol,1st,2016,Maruti
511,Maruti Suzuki Wagon,PLATINUM,Chennai,375899,54645,Petrol,1st,2014,Maruti
512,Maruti Suzuki Eeco,PLATINUM,Chennai,493899,7211,Petrol,1st,2019,Maruti
513,Datsun Redi GO,PLATINUM,Bangalore,311399,37217,Petrol,2nd,2017,Datsun
514,Maruti Suzuki Eeco,PLATINUM,Chennai,493899,32372,Petrol,1st,2019,Maruti
515,Maruti Suzuki Wagon,PLATINUM,Chennai,501999,37947,Petrol,2nd,2018,Maruti
516,Hyundai Grand i10,PLATINUM,Pune,409399,51886,Petrol,2nd,2014,Hyundai
517,Toyota Innova Crysta,PLATINUM,Pune,1737899,43187,Diesel,2nd,2018,Toyota
518,Hyundai i20 Active,PLATINUM,Pune,583999,33616,Diesel,1st,2015,Hyundai
519,Volkswagen Vento ,PLATINUM,Chennai,654299,91087,Diesel,1st,2015,Volkswagen
520,Ford Ecosport ,PLATINUM,Bangalore,986699,26372,Petrol,2nd,2018,Ford
521,Maruti Suzuki Celerio,PLATINUM,Bangalore,414199,58762,Petrol,1st,2014,Maruti
522,Hyundai Elite i20,PLATINUM,Chennai,588099,101920,Diesel,2nd,2016,Hyundai
523,Hyundai i20 Active,PLATINUM,Pune,567399,35140,Petrol,2nd,2015,Hyundai
524,Maruti Suzuki Ciaz,PLATINUM,Pune,805099,50842,Diesel,2nd,2018,Maruti
525,Honda Amaze ,PLATINUM,Pune,492199,43412,Petrol,1st,2015,Honda
526,Honda Jazz ,PLATINUM,Pune,495799,46201,Petrol,1st,2016,Honda
527,Maruti Suzuki S,PLATINUM,Bangalore,1113599,63626,Diesel,2nd,2017,Maruti
528,Maruti Suzuki Alto,PLATINUM,Chennai,299999,18251,Petrol,1st,2016,Maruti
529,Maruti Suzuki Baleno,PLATINUM,Chennai,592099,41019,Petrol,2nd,2016,Maruti
530,Renault Kwid RXT,PLATINUM,Chennai,322299,46463,Petrol,1st,2015,Renault
531,Renault Kwid ,PLATINUM,Bangalore,481999,20110,Petrol,2nd,2017,Renault
532,Hyundai Grand i10,PLATINUM,Pune,534599,17364,Petrol,2nd,2016,Hyundai
533,MG Motors Hector,PLATINUM,Bangalore,1681899,6760,Petrol,2nd,2020,MG
534,Maruti Suzuki Celerio,PLATINUM,Bangalore,429599,35109,Petrol,2nd,2016,Maruti
535,Honda Amaze ,PLATINUM,Chennai,723799,44266,Petrol,2nd,2018,Honda
536,Volkswagen Polo ,PLATINUM,Chennai,563299,39156,Petrol,2nd,2017,Volkswagen
537,Maruti Suzuki Alto,PLATINUM,Pune,214199,57993,Petrol,3rd,2011,Maruti
538,Maruti Suzuki Alto,PLATINUM,Bangalore,319399,51573,Petrol,2nd,2015,Maruti
539,Maruti Suzuki Vitara,PLATINUM,Bangalore,810399,78329,Diesel,2nd,2016,Maruti
540,Maruti Suzuki Ertiga,PLATINUM,Chennai,788999,61977,Diesel,1st,2016,Maruti
541,Mahindra KUV100 K6,PLATINUM,Bangalore,508799,58640,Diesel,1st,2016,Mahindra
542,Renault Kwid ,PLATINUM,Bangalore,457099,40650,Petrol,1st,2018,Renault
543,Volkswagen Polo ,PLATINUM,Bangalore,612899,19121,Petrol,2nd,2019,Volkswagen
544,Ford Ecosport ,PLATINUM,Chennai,684099,85893,Diesel,2nd,2016,Ford
545,Renault Triber ,PLATINUM,Chennai,716699,9874,Petrol,2nd,2019,Renault
546,Hyundai Grand i10,PLATINUM,Bangalore,501599,25202,Petrol,1st,2016,Hyundai
547,Hyundai Grand i10,PLATINUM,Chennai,509699,95999,Petrol,2nd,2016,Hyundai
548,Maruti Suzuki Alto,PLATINUM,Bangalore,337799,49074,Petrol,2nd,2014,Maruti
549,Hyundai Verna 1.6,PLATINUM,Pune,852399,52439,Petrol,2nd,2017,Hyundai
550,Mahindra XUV 500,PLATINUM,Bangalore,1784699,10813,Diesel,1st,2020,Mahindra
551,Hyundai Creta ,PLATINUM,Chennai,778199,127971,Petrol,2nd,2016,Hyundai
552,Maruti Suzuki Swift,PLATINUM,Chennai,705099,114108,Diesel,2nd,2018,Maruti
553,Hyundai Grand i10,PLATINUM,Chennai,557599,52030,Diesel,2nd,2017,Hyundai
554,Mahindra XUV 500,PLATINUM,Pune,1518099,44721,Diesel,2nd,2018,Mahindra
555,BMW 5 Series,GOLD,NaviMumbai,1059000,49000,Petrol,3rd,2010,BMW
556,Maruti Suzuki Alto,GOLD,Kolkata,185000,55000,Petrol,1st,2011,Maruti
557,Mercedes Benz E,GOLD,Kolkata,1948888,10000,Diesel,1st,2013,Mercedes
558,Tata Harrier ,PLATINUM,Bangalore,2272499,22667,Diesel,2nd,2020,Tata
559,Honda City ,PLATINUM,Bangalore,626199,68519,Petrol,1st,2014,Honda
560,Tata Nano ,PLATINUM,Bangalore,236099,64011,Petrol,1st,2015,Tata
561,Maruti Suzuki Alto,PLATINUM,Bangalore,430499,13598,Petrol,1st,2021,Maruti
562,Maruti Suzuki Wagon,PLATINUM,Bangalore,442799,47037,Petrol,2nd,2014,Maruti
563,Hyundai Creta ,PLATINUM,Pune,1373699,69711,Petrol,2nd,2018,Hyundai
564,Hyundai Elite i20,PLATINUM,Pune,589299,49189,Petrol,2nd,2015,Hyundai
565,Maruti Suzuki Alto,PLATINUM,Chennai,298199,18368,Petrol,1st,2016,Maruti
566,Tata Harrier ,PLATINUM,Pune,1508799,16874,Diesel,2nd,2020,Tata
567,Maruti Suzuki Eeco,PLATINUM,Bangalore,473699,24484,Petrol,2nd,2019,Maruti
568,Maruti Suzuki Baleno,PLATINUM,Chennai,656299,20688,Petrol,2nd,2019,Maruti
569,Maruti Suzuki Alto,PLATINUM,Chennai,345799,24065,Petrol,2nd,2016,Maruti
570,Hyundai Grand i10,PLATINUM,Chennai,584599,22609,Petrol,2nd,2018,Hyundai
571,Skoda Rapid ,PLATINUM,Pune,786799,56523,Diesel,2nd,2017,Skoda
572,Hyundai Elite i20,PLATINUM,Chennai,624799,48031,Petrol,2nd,2018,Hyundai
573,Hyundai Grand i10,PLATINUM,Chennai,472399,45578,Petrol,1st,2016,Hyundai
574,Hyundai Fluidic Verna,GOLD,Kolkata,408888,70070,Diesel,1st,2012,Hyundai
575,Hyundai i10 Magna,GOLD,Kolkata,288888,28000,Petrol,1st,2015,Hyundai
576,Chevrolet Sail 1.2,GOLD,Kolkata,198888,30030,Diesel,1st,2013,Chevrolet
577,Ford Endeavor 4X4,GOLD,Kolkata,898888,25000,Diesel,1st,2011,Ford
578,BMW 3 Series,GOLD,Kolkata,1148888,8000,Diesel,1st,2013,BMW
579,Hyundai Elite i20,PLATINUM,Bangalore,687199,28648,Petrol,1st,2016,Hyundai
580,Hyundai i10 Magna,PLATINUM,Bangalore,387099,59819,Petrol,2nd,2015,Hyundai
581,Maruti Suzuki Baleno,PLATINUM,Chennai,650599,19574,Petrol,2nd,2018,Maruti
582,Tata Hexa ,PLATINUM,Chennai,1705799,46337,Diesel,2nd,2019,Tata
583,Volkswagen Polo ,PLATINUM,Bangalore,526899,73563,Petrol,1st,2015,Volkswagen
584,Honda Jazz ,PLATINUM,Chennai,612799,51428,Petrol,2nd,2016,Honda
585,Maruti Suzuki Alto,PLATINUM,Chennai,269099,95754,Petrol,2nd,2016,Maruti
586,Tata Hexa ,PLATINUM,Chennai,1952199,34533,Diesel,2nd,2019,Tata
587,Maruti Suzuki Baleno,PLATINUM,Chennai,646299,50154,Petrol,2nd,2016,Maruti
588,Maruti Suzuki Celerio,PLATINUM,Bangalore,425899,23492,Petrol,2nd,2016,Maruti
589,Maruti Suzuki Celerio,PLATINUM,Bangalore,496399,37739,Petrol,2nd,2017,Maruti
590,Maruti Suzuki Celerio,PLATINUM,Bangalore,393799,46178,Petrol,3rd,2015,Maruti
591,Maruti Suzuki Baleno,PLATINUM,Chennai,619599,42893,Petrol,1st,2017,Maruti
592,Maruti Suzuki Alto,PLATINUM,Pune,423599,57875,Petrol,2nd,2019,Maruti
593,Hyundai Venue ,PLATINUM,Pune,831999,4832,Petrol,2nd,2020,Hyundai
594,Renault Triber ,PLATINUM,Chennai,695099,27805,Petrol,2nd,2019,Renault
595,Hyundai Xcent S,GOLD,Ahmedabad,390000,71000,Diesel,1st,2014,Hyundai
596,Maruti Suzuki Alto,PLATINUM,Chennai,261499,68844,Petrol,2nd,2013,Maruti
597,Honda Jazz ,PLATINUM,Chennai,649699,37070,Petrol,1st,2017,Honda
598,Hyundai Grand i10,PLATINUM,Pune,494099,20393,Petrol,2nd,2017,Hyundai
599,Maruti Suzuki Alto,PLATINUM,Pune,313399,22244,Petrol,2nd,2017,Maruti
600,Toyota Fortuner ,PLATINUM,Chennai,2122099,47024,Diesel,1st,2016,Toyota
601,Hyundai Elite i20,PLATINUM,Chennai,552799,64707,Petrol,2nd,2015,Hyundai
